EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 10:15:19


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     vr1_Exc_1, e2q_Syn_1       -44.2987        10.9007        1.7349         7.2607        
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -44.2987       -10.9007        1.7349         7.2607        
Eig As # 8     vr1_Exc_4                  -49.9233        0              0              0             
Eig As # 9     vr1_Exc_5                  -49.9414        0              0              0             
Eig As #10     vr1_Exc_3                  -49.9696        0              0              0             
Eig As #11     vr1_Exc_2                  -49.9812        0              0              0             
Eig As #12     e2d_Syn_1                  -37.6905        0              0              0             
Eig As #13     e2q_Syn_3                  -33.5657        0              0              0             
Eig As #14     e2q_Syn_2                  -31.0273        0              0              0             
Eig As #15     e2q_Syn_5                  -27.6803        0              0              0             
Eig As #16     e2q_Syn_4                  -23.3521        0              0              0             
Eig As #17     e2d_Syn_3                  -17.3837        0              0              0             
Eig As #18     e1q_Syn_1, vf_Exc_1        -2e-05          10.9829        1.748          1.748         
Eig As #19     e1q_Syn_1, vf_Exc_1        -2e-05         -10.9829        1.748          1.748         
Eig As #20     e2d_Syn_2                  -14.7418        0              0              0             
Eig As #21     e2d_Syn_4                  -13.5053        0              0              0             
Eig As #22     omega_Syn_5, delta_Syn_5   -4.1862         9.8878         1.5737         1.7089        
Eig As #23     omega_Syn_5, delta_Syn_5   -4.1862        -9.8878         1.5737         1.7089        
Eig As #24     omega_Syn_3, delta_Syn_3   -2.9411         9.5851         1.5255         1.5957        
Eig As #25     omega_Syn_3, delta_Syn_3   -2.9411        -9.5851         1.5255         1.5957        
Eig As #26     omega_Syn_4, delta_Syn_4   -2.4727         8.9682         1.4273         1.4806        
Eig As #27     omega_Syn_4, delta_Syn_4   -2.4727        -8.9682         1.4273         1.4806        
Eig As #28     omega_Syn_2, delta_Syn_2   -2.6393         7.7323         1.2306         1.3003        
Eig As #29     omega_Syn_2, delta_Syn_2   -2.6393        -7.7323         1.2306         1.3003        
Eig As #30     e2d_Syn_4                  -10.6091        0              0              0             
Eig As #31     e1d_Syn_3                  -8.2003         0              0              0             
Eig As #32     e1d_Syn_2                  -7.1087         0              0              0             
Eig As #33     e1q_Syn_4, vf_Exc_4        -0.99482        1.5736         0.25044        0.29629       
