EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 10:48:26


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     v3_Pss_1                   -62.861         0              0              0             
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -48.1056        18.6695        2.9713         8.2126        
Eig As # 8     vr1_Exc_1, e2q_Syn_1       -48.1056       -18.6695        2.9713         8.2126        
Eig As # 9     vr1_Exc_4                  -49.9238        0              0              0             
Eig As #10     vr1_Exc_5                  -49.9414        0              0              0             
Eig As #11     vr1_Exc_3                  -49.9671        0              0              0             
Eig As #12     vr1_Exc_2                  -49.9772        0              0              0             
Eig As #13     e2d_Syn_1                  -36.6918        0              0              0             
Eig As #14     e2q_Syn_2                  -32.7122        0              0              0             
Eig As #15     v3_Pss_1, v2_Pss_1         -30.9726        2.3056         0.36695        4.9431        
Eig As #16     v3_Pss_1, v2_Pss_1         -30.9726       -2.3056         0.36695        4.9431        
Eig As #17     e2q_Syn_5                  -27.7728        0              0              0             
Eig As #18     e2q_Syn_4                  -23.5903        0              0              0             
Eig As #19     e1q_Syn_1, vf_Exc_1        -0.74025        11.6452        1.8534         1.8571        
Eig As #20     e1q_Syn_1, vf_Exc_1        -0.74025       -11.6452        1.8534         1.8571        
Eig As #21     e2d_Syn_3                  -17.2379        0              0              0             
Eig As #22     omega_Syn_5, delta_Syn_5   -4.2566         10.6616        1.6968         1.8271        
Eig As #23     omega_Syn_5, delta_Syn_5   -4.2566        -10.6616        1.6968         1.8271        
Eig As #24     omega_Syn_3, delta_Syn_3   -3.0784         9.7841         1.5572         1.6325        
Eig As #25     omega_Syn_3, delta_Syn_3   -3.0784        -9.7841         1.5572         1.6325        
Eig As #26     omega_Syn_2, delta_Syn_2   -1.5557         8.4981         1.3525         1.375         
Eig As #27     omega_Syn_2, delta_Syn_2   -1.5557        -8.4981         1.3525         1.375         
Eig As #28     omega_Syn_2, delta_Syn_2   -2.7967         8.5568         1.3619         1.4328        
Eig As #29     omega_Syn_2, delta_Syn_2   -2.7967        -8.5568         1.3619         1.4328        
Eig As #30     e2d_Syn_2                  -14.6516        0              0              0             
Eig As #31     e2d_Syn_4                  -13.3944        0              0              0             
Eig As #32     e2d_Syn_4                  -10.7358        0              0              0             
Eig As #33     e1d_Syn_3                  -8.1882         0              0              0             
