EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 10:50:17


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     v3_Pss_1                   -62.8071        0              0              0             
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -48.1019        18.6205        2.9635         8.2092        
Eig As # 8     vr1_Exc_1, e2q_Syn_1       -48.1019       -18.6205        2.9635         8.2092        
Eig As # 9     vr1_Exc_4                  -49.9235        0              0              0             
Eig As #10     vr1_Exc_5                  -49.9414        0              0              0             
Eig As #11     vr1_Exc_3                  -49.967         0              0              0             
Eig As #12     vr1_Exc_2                  -49.9771        0              0              0             
Eig As #13     e2d_Syn_1                  -36.6802        0              0              0             
Eig As #14     e2q_Syn_2                  -32.6835        0              0              0             
Eig As #15     v2_Pss_1, v3_Pss_1         -31.0344        2.3101         0.36766        4.9529        
Eig As #16     v2_Pss_1, v3_Pss_1         -31.0344       -2.3101         0.36766        4.9529        
Eig As #17     e2q_Syn_5                  -27.7552        0              0              0             
Eig As #18     e2q_Syn_4                  -23.5352        0              0              0             
Eig As #19     e1q_Syn_1, vf_Exc_1        -0.67319        11.6405        1.8526         1.8557        
Eig As #20     e1q_Syn_1, vf_Exc_1        -0.67319       -11.6405        1.8526         1.8557        
Eig As #21     e2d_Syn_3                  -17.3026        0              0              0             
Eig As #22     omega_Syn_5, delta_Syn_5   -4.1336         9.8383         1.5658         1.6984        
Eig As #23     omega_Syn_5, delta_Syn_5   -4.1336        -9.8383         1.5658         1.6984        
Eig As #24     omega_Syn_3, delta_Syn_3   -2.9344         9.4956         1.5113         1.5818        
Eig As #25     omega_Syn_3, delta_Syn_3   -2.9344        -9.4956         1.5113         1.5818        
Eig As #26     omega_Syn_2, delta_Syn_2   -1.7601         8.4746         1.3488         1.3776        
Eig As #27     omega_Syn_2, delta_Syn_2   -1.7601        -8.4746         1.3488         1.3776        
Eig As #28     omega_Syn_2, delta_Syn_2   -2.6984         7.958          1.2666         1.3374        
Eig As #29     omega_Syn_2, delta_Syn_2   -2.6984        -7.958          1.2666         1.3374        
Eig As #30     e2d_Syn_2                  -14.811         0              0              0             
Eig As #31     e2d_Syn_4                  -13.6123        0              0              0             
Eig As #32     e2d_Syn_4                  -10.7044        0              0              0             
Eig As #33     e1d_Syn_3                  -8.2107         0              0              0             
