EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 11:05:03


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     vr1_Exc_1                  -70.4612        0              0              0             
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -49.8144        26.1182        4.1568         8.9518        
Eig As # 8     vr1_Exc_1, e2q_Syn_1       -49.8144       -26.1182        4.1568         8.9518        
Eig As # 9     vr1_Exc_4                  -49.9235        0              0              0             
Eig As #10     vr1_Exc_5                  -49.9414        0              0              0             
Eig As #11     vr1_Exc_3                  -49.967         0              0              0             
Eig As #12     vr1_Exc_2                  -49.9771        0              0              0             
Eig As #13     e2d_Syn_1                  -36.8731        0              0              0             
Eig As #14     e2q_Syn_3                  -33.1072        0              0              0             
Eig As #15     e2q_Syn_2                  -30.2328        0              0              0             
Eig As #16     e2q_Syn_5                  -27.5458        0              0              0             
Eig As #17     e1q_Syn_1, vf_Exc_1        -1.3707         14.4359        2.2975         2.3079        
Eig As #18     e1q_Syn_1, vf_Exc_1        -1.3707        -14.4359        2.2975         2.3079        
Eig As #19     e2d_Syn_3, v3_Pss_1        -22.0681        1.6511         0.26278        3.5221        
Eig As #20     e2d_Syn_3, v3_Pss_1        -22.0681       -1.6511         0.26278        3.5221        
Eig As #21     omega_Syn_5, delta_Syn_5   -4.122          9.8468         1.5672         1.6989        
Eig As #22     omega_Syn_5, delta_Syn_5   -4.122         -9.8468         1.5672         1.6989        
Eig As #23     omega_Syn_3, delta_Syn_3   -3.0063         9.4605         1.5057         1.5799        
Eig As #24     omega_Syn_3, delta_Syn_3   -3.0063        -9.4605         1.5057         1.5799        
Eig As #25     omega_Syn_2, delta_Syn_2   -0.76243        7.194          1.145          1.1514        
Eig As #26     omega_Syn_2, delta_Syn_2   -0.76243       -7.194          1.145          1.1514        
Eig As #27     omega_Syn_2, delta_Syn_2   -3.0811         8.0702         1.2844         1.3748        
Eig As #28     omega_Syn_2, delta_Syn_2   -3.0811        -8.0702         1.2844         1.3748        
Eig As #29     e2d_Syn_2                  -16.1802        0              0              0             
Eig As #30     e2d_Syn_2                  -14.8307        0              0              0             
Eig As #31     e2d_Syn_5                  -13.8788        0              0              0             
Eig As #32     e2d_Syn_4                  -11.013         0              0              0             
Eig As #33     e1d_Syn_3                  -8.2012         0              0              0             
