EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 10:02:54


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_2                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_5                   -1000           0              0              0             
Eig As # 6     vr1_Exc_1, e2q_Syn_1       -44.3503        10.9127        1.7368         7.2691        
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -44.3503       -10.9127        1.7368         7.2691        
Eig As # 8     vr1_Exc_4                  -49.926         0              0              0             
Eig As # 9     vr1_Exc_5                  -49.9418        0              0              0             
Eig As #10     vr1_Exc_3                  -49.9698        0              0              0             
Eig As #11     vr1_Exc_2                  -49.9818        0              0              0             
Eig As #12     e2d_Syn_1                  -37.5113        0              0              0             
Eig As #13     e2q_Syn_3                  -33.859         0              0              0             
Eig As #14     e2q_Syn_2                  -31.0591        0              0              0             
Eig As #15     e2q_Syn_5                  -27.7516        0              0              0             
Eig As #16     e2q_Syn_4                  -23.9575        0              0              0             
Eig As #17     e2d_Syn_3                  -16.9611        0              0              0             
Eig As #18     e1q_Syn_1, vf_Exc_1        -0.25234        11.2233        1.7862         1.7867        
Eig As #19     e1q_Syn_1, vf_Exc_1        -0.25234       -11.2233        1.7862         1.7867        
Eig As #20     omega_Syn_5, delta_Syn_5   -5.4268         11.436         1.8201         2.0146        
Eig As #21     omega_Syn_5, delta_Syn_5   -5.4268        -11.436         1.8201         2.0146        
Eig As #22     omega_Syn_4, delta_Syn_4   -4.0216         10.364         1.6495         1.7693        
Eig As #23     omega_Syn_4, delta_Syn_4   -4.0216        -10.364         1.6495         1.7693        
Eig As #24     omega_Syn_2, delta_Syn_2   -2.464          8.7709         1.3959         1.45          
Eig As #25     omega_Syn_2, delta_Syn_2   -2.464         -8.7709         1.3959         1.45          
Eig As #26     omega_Syn_2, delta_Syn_2   -3.7553         8.329          1.3256         1.4541        
Eig As #27     omega_Syn_2, delta_Syn_2   -3.7553        -8.329          1.3256         1.4541        
Eig As #28     e2d_Syn_2                  -13.1824        0              0              0             
Eig As #29     e2d_Syn_5                  -11.3039        0              0              0             
Eig As #30     e2d_Syn_4                  -9.6553         0              0              0             
Eig As #31     e1d_Syn_3                  -7.8243         0              0              0             
Eig As #32     e1d_Syn_2                  -6.2643         0              0              0             
Eig As #33     e1q_Syn_4, vf_Exc_4        -1.0477         1.4563         0.23178        0.28553       
