EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 10:57:33


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     vr1_Exc_1                  -69.2301        0              0              0             
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -49.533         24.892         3.9617         8.8229        
Eig As # 8     vr1_Exc_1, e2q_Syn_1       -49.533        -24.892         3.9617         8.8229        
Eig As # 9     vr1_Exc_4                  -49.9235        0              0              0             
Eig As #10     vr1_Exc_5                  -49.9414        0              0              0             
Eig As #11     vr1_Exc_3                  -49.967         0              0              0             
Eig As #12     vr1_Exc_2                  -49.9771        0              0              0             
Eig As #13     e2d_Syn_1                  -36.8635        0              0              0             
Eig As #14     e2q_Syn_3                  -33.0931        0              0              0             
Eig As #15     e2q_Syn_2                  -30.1629        0              0              0             
Eig As #16     e2q_Syn_4                  -27.5183        0              0              0             
Eig As #17     v2_Pss_1, v3_Pss_1         -22.8936        1.9808         0.31526        3.6572        
Eig As #18     v2_Pss_1, v3_Pss_1         -22.8936       -1.9808         0.31526        3.6572        
Eig As #19     e1q_Syn_1, vf_Exc_1        -1.3113         13.8143        2.1986         2.2085        
Eig As #20     e1q_Syn_1, vf_Exc_1        -1.3113        -13.8143        2.1986         2.2085        
Eig As #21     omega_Syn_5, delta_Syn_5   -4.1243         9.846          1.567          1.699         
Eig As #22     omega_Syn_5, delta_Syn_5   -4.1243        -9.846          1.567          1.699         
Eig As #23     omega_Syn_3, delta_Syn_3   -2.998          9.4628         1.506          1.5798        
Eig As #24     omega_Syn_3, delta_Syn_3   -2.998         -9.4628         1.506          1.5798        
Eig As #25     omega_Syn_2, delta_Syn_2   -0.87833        7.4099         1.1793         1.1876        
Eig As #26     omega_Syn_2, delta_Syn_2   -0.87833       -7.4099         1.1793         1.1876        
Eig As #27     omega_Syn_2, delta_Syn_2   -3.0339         8.0662         1.2838         1.3716        
Eig As #28     omega_Syn_2, delta_Syn_2   -3.0339        -8.0662         1.2838         1.3716        
Eig As #29     e2d_Syn_3                  -16.6588        0              0              0             
Eig As #30     e2d_Syn_2                  -14.8195        0              0              0             
Eig As #31     e2d_Syn_5                  -13.7628        0              0              0             
Eig As #32     e2d_Syn_4                  -10.9175        0              0              0             
Eig As #33     e1d_Syn_3                  -8.2037         0              0              0             
