EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 10:12:51


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     vr1_Exc_1, e2q_Syn_1       -44.3486        10.9219        1.7383         7.2692        
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -44.3486       -10.9219        1.7383         7.2692        
Eig As # 8     vr1_Exc_4                  -49.9246        0              0              0             
Eig As # 9     vr1_Exc_5                  -49.9417        0              0              0             
Eig As #10     vr1_Exc_3                  -49.9698        0              0              0             
Eig As #11     vr1_Exc_2                  -49.9811        0              0              0             
Eig As #12     e2d_Syn_1                  -37.4935        0              0              0             
Eig As #13     e2q_Syn_3                  -33.6802        0              0              0             
Eig As #14     e2q_Syn_2                  -31.0716        0              0              0             
Eig As #15     e2q_Syn_5                  -27.7378        0              0              0             
Eig As #16     e2q_Syn_4                  -23.5828        0              0              0             
Eig As #17     e2d_Syn_3                  -16.7173        0              0              0             
Eig As #18     e1q_Syn_1, vf_Exc_1        -0.23292        11.1895        1.7809         1.7812        
Eig As #19     e1q_Syn_1, vf_Exc_1        -0.23292       -11.1895        1.7809         1.7812        
Eig As #20     omega_Syn_5, delta_Syn_5   -5.2289         11.2425        1.7893         1.9734        
Eig As #21     omega_Syn_5, delta_Syn_5   -5.2289        -11.2425        1.7893         1.9734        
Eig As #22     omega_Syn_4, delta_Syn_4   -3.7595         10.0549        1.6003         1.7085        
Eig As #23     omega_Syn_4, delta_Syn_4   -3.7595        -10.0549        1.6003         1.7085        
Eig As #24     omega_Syn_2, delta_Syn_2   -2.2501         8.572          1.3643         1.4105        
Eig As #25     omega_Syn_2, delta_Syn_2   -2.2501        -8.572          1.3643         1.4105        
Eig As #26     omega_Syn_2, delta_Syn_2   -3.6472         8.7025         1.385          1.5018        
Eig As #27     omega_Syn_2, delta_Syn_2   -3.6472        -8.7025         1.385          1.5018        
Eig As #28     e2d_Syn_2                  -13.4221        0              0              0             
Eig As #29     e2d_Syn_5                  -11.6658        0              0              0             
Eig As #30     e2d_Syn_4                  -9.7553         0              0              0             
Eig As #31     e1d_Syn_3                  -7.8256         0              0              0             
Eig As #32     e1d_Syn_2                  -6.5907         0              0              0             
Eig As #33     e1q_Syn_4, vf_Exc_4        -1.0258         1.5097         0.24027        0.29048       
