EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2/Base_14bus_lambda
Date:  02-Nov-2013 10:56:36


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     vr1_Exc_1                  -69.3509        0              0              0             
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -49.5457        25.0142        3.9811         8.8334        
Eig As # 8     vr1_Exc_1, e2q_Syn_1       -49.5457       -25.0142        3.9811         8.8334        
Eig As # 9     vr1_Exc_4                  -49.9238        0              0              0             
Eig As #10     vr1_Exc_5                  -49.9414        0              0              0             
Eig As #11     vr1_Exc_3                  -49.9672        0              0              0             
Eig As #12     vr1_Exc_2                  -49.9773        0              0              0             
Eig As #13     e2d_Syn_1                  -36.8997        0              0              0             
Eig As #14     e2q_Syn_3                  -33.1083        0              0              0             
Eig As #15     e2q_Syn_2                  -30.1763        0              0              0             
Eig As #16     e2q_Syn_4                  -27.5276        0              0              0             
Eig As #17     v3_Pss_1, v2_Pss_1         -22.7978        1.9843         0.31581        3.6421        
Eig As #18     v3_Pss_1, v2_Pss_1         -22.7978       -1.9843         0.31581        3.6421        
Eig As #19     e1q_Syn_1, vf_Exc_1        -1.3295         13.91          2.2138         2.2239        
Eig As #20     e1q_Syn_1, vf_Exc_1        -1.3295        -13.91          2.2138         2.2239        
Eig As #21     omega_Syn_5, delta_Syn_5   -4.2027         10.6849        1.7006         1.8274        
Eig As #22     omega_Syn_5, delta_Syn_5   -4.2027        -10.6849        1.7006         1.8274        
Eig As #23     omega_Syn_3, delta_Syn_3   -3.0591         9.7895         1.5581         1.6324        
Eig As #24     omega_Syn_3, delta_Syn_3   -3.0591        -9.7895         1.5581         1.6324        
Eig As #25     omega_Syn_2, delta_Syn_2   -0.73659        7.452          1.186          1.1918        
Eig As #26     omega_Syn_2, delta_Syn_2   -0.73659       -7.452          1.186          1.1918        
Eig As #27     omega_Syn_2, delta_Syn_2   -3.0994         8.5707         1.3641         1.4505        
Eig As #28     omega_Syn_2, delta_Syn_2   -3.0994        -8.5707         1.3641         1.4505        
Eig As #29     e2d_Syn_3                  -16.6779        0              0              0             
Eig As #30     e2d_Syn_2                  -14.745         0              0              0             
Eig As #31     e2d_Syn_5                  -13.5974        0              0              0             
Eig As #32     e2d_Syn_4                  -10.9759        0              0              0             
Eig As #33     e1d_Syn_3                  -8.184          0              0              0             
